App Name,Country,Category,Sensor Tower Link,Release Date,Last 30D Downloads WW,Last 30D Revenue WW,Ads Network,How They Get Their Money,Keyword 1,KW1 Advanced Search Link,KW1 Results,Keyword 2,KW2 Advanced Search Link,KW2 Results,Keyword 3,KW3 Advanced Search Link,KW3 Results,Market Verdict,App Description,Why I could work
Hear Baby Heartbeat - Molio,US,Health & Fitness,https://app.sensortower.com/overview/6760187447?country=US,2026-03-12,"25,000","$15,400",N/A,"ORGANIC / ASO. ""Hear Baby Heartbeat"" = exact search keyword. $15.4K/mo with $0.62 RPD. Pregnancy niche with emotional appeal = high conversion.",baby heartbeat monitor,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=baby+heartbeat+monitor,4 pages ~100 results — established pregnancy niche,pregnancy heartbeat,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=pregnancy+heartbeat,1 page ~25 results — small overlap with broader pregnancy apps,hear baby heartbeat,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=hear+baby+heartbeat,1 page ~25 results — few direct competitors for audio feature,⚠️ YELLOW — Baby heartbeat monitor market has ~100 results with some established players. Strong emotional appeal drives conversion. $15.4K/mo validates demand. Pregnancy = natural lifecycle churn.,Lets pregnant moms hear their baby's heartbeat through the phone.,"Pregnancy is emotional, so moms pay for this. Only a few apps focus on the heartbeat itself."
MacroFactor - Macro Tracker,US,Health & Fitness,https://app.sensortower.com/overview/1553503471?country=US,2021-09-15,"26,000","$235,000",N/A,"ORGANIC. ""Macro Tracker"" = searchable keyword. Established app (2021) with loyal user base and excellent $9.04 RPD. Brand loyalty built over years.",macro tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=macro+tracker,36 pages ~900 results — massively crowded macro/nutrition market,workout nutrition tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=workout+nutrition+tracker,1 page ~25 results — small niche combining workout + nutrition,macro counting app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=macro+counting+app,"1 page ~25 results — few apps use ""macro counting"" specifically",🔴 RED — Macro tracker massively crowded (900+ results). Dominated by MyFitnessPal and established players. MacroFactor succeeds from brand built over years — not replicable.,"Counts the protein, carbs, and fat in your food so you can hit your goals.",Macro tracker is a huge crowded space. MyFitnessPal owns it. Very hard for a new app to win.
Ruut: Personal Coach,US,Health & Fitness,https://app.sensortower.com/overview/6755474436?country=US,2026-04-09,"12,000","$2,000",N/A,"ORGANIC. ""Ruut"" brand name with ""Personal Coach"" subtitle containing searchable keywords. $2K/mo early revenue. 12K DLs in ~1 month = decent organic growth.",personal coach app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=personal+coach+app,1 page ~25 results — very uncrowded niche,ai life coach,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ai+life+coach,6 pages ~150 results — moderately crowded AI coaching space,health coaching app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=health+coaching+app,3 pages ~75 results — some competition in health coaching,"⚠️ YELLOW — ""AI life coach"" moderately crowded (150 results) but ""personal coach app"" very uncrowded. Health coaching has room for differentiated entries. $2K early revenue promising.",An AI life coach that helps you talk through goals and habits like a real coach.,"Life coaching is hot, but ""AI life coach"" is starting to fill up with copy apps."
Pep AI - Peptide Tracker,US,Health & Fitness,https://app.sensortower.com/overview/6758682710?country=US,2026-02-16,"12,000","$4,000",N/A,"ORGANIC. ""Peptide Tracker"" = exact niche keyword. GLP-1/peptide tracking is a NEW category. $4K/mo from niche market. Riding the massive GLP-1 weight loss drug trend.",peptide tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=peptide+tracker,4 pages ~100 results — mostly generic health apps not peptide-specific,glp-1 tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=glp-1+tracker,5 pages ~125 results — growing GLP-1/peptide niche,peptide dosing,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=peptide+dosing,1 page ~25 results — very specific dosing niche,🟢 GREEN — Peptide/GLP-1 tracking is new fast-growing niche. ~250 results but most generic. GLP-1 drug trend massive and growing. Early mover advantage.,Tracks the peptide shots people use for weight loss like Ozempic and Wegovy.,GLP-1 weight loss drugs are everywhere right now. This tool helps people manage their shots.
Sports Card Scanner: Spoly,US,Lifestyle,https://app.sensortower.com/overview/6760181919?country=US,2026-03-18,"45,000","$75,000",N/A,ORGANIC / ASO. Name contains exact search keywords. Strong $1.33 RPD. Sports card scanning with value estimation.,sports card scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=sports+card+scanner,5 pages ~125 results — moderately crowded card scanning market,card value scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=card+value+scanner,7 pages ~175 results — broader card value estimation market,pokemon card scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=pokemon+card+scanner,2 pages ~50 results — niche Pokemon angle less crowded,⚠️ YELLOW — Card scanning moderately crowded (~350 results) but Spoly's $75K/mo and $1.33 RPD proves strong willingness to pay.,"Scans your sports cards to tell you what they're worth, like Pokémon for adults.",Card collecting is back big. Sellers need a quick way to see values.
Famircle: Family Locator,US,Lifestyle,https://app.sensortower.com/overview/6758696583?country=US,2026-03-12,"89,000","$13,700",N/A,ORGANIC. Name combines family + circle. Family location sharing app from Chinese publisher.,family location sharing,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=family+location+sharing,5 pages ~125 results — GeoZilla $368K/mo dominates. Established market.,family tracker gps,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=family+tracker+gps,1 page ~8 results — mostly dead small apps,find my family location,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=find+my+family+location,1 page 5 results — all tiny inactive apps,🔴 RED — Family location dominated by Life360 and GeoZilla ($368K/mo). Very competitive. Famircle's $13.7K tiny vs incumbents.,"A live map that shows where your family members are, like Life360 and Find My.",Life360 already dominates this space and has $368K/mo competitors. Very hard to break in.
Glowly AI,US,Lifestyle,https://app.sensortower.com/overview/6755280295?country=US,2026-01-07,"7,000",$108,N/A,ORGANIC. AI skin analysis app with terrible monetization. $108/mo from 7K downloads = $0.01 RPD.,ai skin analysis,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=ai+skin+analysis,6 pages ~150 results — PerfectSkin 85K DLs leads. Crowded AI beauty market.,skin care ai scanner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=skin+care+ai+scanner,~2 pages — overlapping AI skincare niche,face skin analyzer,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=face+skin+analyzer,~3 pages — generic face analysis market,🔴 RED — Crowded AI beauty/skin market (150+ results). Terrible $108/mo monetization. Many competitors.,AI camera that scans your face and tells you about your skin.,Many apps do this already. This one barely makes any money — just $108/mo.
That Girl: Become a Clean Girl,US,Lifestyle,https://app.sensortower.com/overview/6756178380?country=US,2025-12-15,"40,000","$21,800",N/A,ORGANIC / VIRAL. Riding the 'that girl' TikTok self-care trend. Good $0.51 RPD. Croatian publisher.,daily routine tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=daily+routine+tracker,3 pages ~75 results — Dear Me $31K/mo leads. Moderate competition.,self care routine planner,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=self+care+routine+planner,"1 page ~10 results — all tiny apps, no dominant player",glow up habit tracker,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=glow+up+habit+tracker,1 page 1 result — essentially empty niche,"🟢 GREEN — 'That girl' branding niche very uncrowded despite broader routine market. $21.8K/mo, good RPD. Trend-driven growth.","A daily-routine planner riding the ""that girl"" / clean-girl trend on TikTok.",The trend is real and big. No app has claimed this name space yet.
"Himyo – Your Way, Your Pace",US,Lifestyle,https://app.sensortower.com/overview/6758081518?country=US,2026-01-26,"15,000","$121,300",New,MIXED. Brand name not searchable. Extraordinary $10.05 RPD. Just started running ads ('New'). Vietnamese publisher. Anonymous social app with virtual identities.,anonymous social app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=anonymous+social+app,2 pages ~50 results — few dedicated anonymous social apps,anonymous chat rooms,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=anonymous+chat+rooms,5 pages ~125 results — moderately crowded anonymous chat space,talk to strangers app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=talk+to+strangers+app,2 pages ~50 results — small stranger chat niche,🟢 GREEN — Anonymous social has some competition but Himyo's $10.05 RPD is extraordinary. 15K DLs → $121K/mo. Exceptional monetization model.,A social app where you talk to strangers using a fake name and avatar.,"Anonymous chat is sensitive, but Himyo charges a LOT per user — over $10 per download."
Wello - Heart Health Monitor,US,Lifestyle,https://app.sensortower.com/overview/6760641376?country=US,2026-03-27,"18,000","$1,000",N/A,ORGANIC. Heart health/wellness monitoring app. Low $0.07 RPD.,heart health monitor,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=heart+health+monitor,~3 pages — moderate heart monitoring competition,wellness check in app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=wellness+check+in+app,~1 page — specific wellness check-in angle uncrowded,heart rate wellness,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=heart+rate+wellness,~2 pages — overlaps broader heart rate market,⚠️ YELLOW — Heart health moderately crowded. Wellness check-in angle less so. Very low $1K/mo revenue.,Checks your heart rate and reminds you to do little wellness check-ins.,"Heart trackers are crowded, but daily check-ins is a smaller, less crowded angle."
Buz tv Matches,US,Lifestyle,https://app.sensortower.com/overview/6762491074?country=US,2026-05-01,"10,000",$0,N/A,ORGANIC. TV match schedule/results app. Very new (May 1). Zero revenue. French publisher.,tv show schedule,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=tv+show+schedule,~3 pages — moderate TV schedule competition,live tv matches,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=live+tv+matches,~2 pages — sports TV streaming apps,sports matches live,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=sports+matches+live,~5 pages — crowded sports streaming/scores market,🔴 RED — Sports/TV streaming dominated by massive incumbents. Zero revenue. No differentiation.,A guide app for the Buz TV sports/show schedule.,Sports streaming is owned by giants. This app makes zero dollars and has no spark.
Areum,US,Lifestyle,https://app.sensortower.com/overview/6756916007?country=US,2026-01-21,"25,000","$11,500",Active,MIXED. Brand name not searchable. Active ads confirm paid UA. Subtitle targets organic searches. Top countries US/India/Canada.,attractiveness test,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=attractiveness+test,2 pages ~50 results — mostly broad personality/quiz apps. Few dedicated attractiveness testers.,face analysis app,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=face+analysis+app,"2 pages ~50 results — fragmented market, no dominant player. Beauty Scanner 16K DLs/$30 rev.",how attractive am i,https://app.sensortower.com/search?entity_type=app&os=unified&device=iphone&device=ipad&device=android&search_by=name&search_by=description&search_by=subtitle&page=1&page_size=25&term=how+attractive+am+i,1 page ~25 results — almost all dead apps with $0 rev. Areum leads at 25K DLs/$11.5K.,⚠️  YELLOW — Face attractiveness niche very uncrowded (<125 results). No dominant incumbents. Areum leads the niche. Market size limited but monetization proven ($11.5K/mo).,AI face scanner that rates how attractive you are.,"Sounds silly, but people are curious and pay to see results. The space has few real players."
